EQUITY EXCH CODE,ISO COUNTRY
AJ,ZA
PF,AU
UP,US
AQ,AU
QE,FR
QX,GB
EB,GB
UF,US
VY,US
RB,BY
E2,NL
MU,MX
XB,GB
B3,GB
B1,GB
NONE,BE
XV,GB
AZ,AZ
B4,NL
NONE,BR
BN,BR
BS,BR
BV,BR
BR,BR
BO,BR
X2,NL
UO,US
AH,AU
JI,JP
IX,GB
XC,GB
TX,CA
DV,CA
DL,CA
I2,NL
DD,DK
NONE,CW
DU,AE
QD,QA
X1,NL
VJ,US
VK,US
NONE,LU
NONE,IT
AA,GR
TE,IT
GW,DE
BW,CH
NONE,DE
NONE,FR
FF,FI
SF,SE
NONE,GB
TL,GI
HM,IT
XT,GR
VH,VN
UI,US
NONE,US
VF,US
NONE,IN
NONE,IN
RF,IS
L1,IE
TK,CA
L3,GB
DG,CA
MX,MV
NONE,ES
TR,CA
TV,CA
TO,CA
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
NONE,IT
IG,IN
MQ,MY
RX,RU
RN,RU
RP,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,RU
NONE,IT
M0,FR
IM,IT
IC,IT
XI,IT
IF,IT
NONE,FR
NONE,IT
NONE,BE
NONE,BE
PD,PL
PG,DE
GZ,DE
NJ,NG
QF,CA
QH,CA
QG,CA
EI,EG
NS,NO
TG,CA
UV,US
NONE,PH
UZ,UA
QU,UA
PQ,US
CJ,CA
TT,TW
RW,RW
RR,RU
RT,RU
JE,JP
JW,JP
NONE,IT
NONE,ES
H1,HK
S1,GB
A0,GB
SI,AU
NONE,RU
H2,HK
UT,US
NONE,PL
XZ,GB
T2,GB
SZ,SC
TQ,GB
NONE,US
T1,NL
X9,NL
WT,NL
NONE,GB
TN,CA
TA,CA
AP,GR
UD,US
DH,AE
NONE,IT
AG,DZ
JR,JO
NA,NL
NONE,NL
AY,AM
UA,US
AT,AU
NONE,AU
GA,GR
BM,BS
BA,BB
BI,BH
NONE,IN
SB,ES
CE, CL
NONE, AR
AM,AR
HO, HN
BH, BM
AX,AO
SG,RS
GB, DE
NONE, ZA
LB, LB
SO, ES
TB, TH
BK,BA
CR, CR
CX, CO
VB, BO
IB, IN
UB, US
BG, BW
SK, SK
SR,CH
BB, BE
NONE,BE
IA, CI
BC,CI
ZS,CI
RE, RO
NONE,CH
HB, HU
XH,HU
AF, AR
AC,AR
AS,AR
BU, BG
VR,CV
NONE, DO
EC, EG
NONE, IN
VS, VE
MC, MA
KY,KY
NONE,US
NONE,CN
CSE,BD
UM,US
GU,GG
JY,GG
NONE,GG
UC,US
CF,CA
SL,LK
DC,DK
NONE,UZ
CY,CY
KH,KH
DS,CA
DT,CA
DM,CA
DK,CA
DJ,CA
DN,CA
TZ,TZ
IH,IN
DB,AE
BD,BD
NONE,IT
NONE,ES
NONE,ES
SY,SY
DE,CM
ID, IE
XF,IE
GD, DE
YC,CY
EK,KN
AI,KN
NX,KN
BQ,DE
GY, DE
GQ,DE
GE,DE
GT,DE
JF,JP
DF,DK
GF,DE
XD,DE
TH,DE
GN,GH
GG,GE
GL,GT
EG,EC
GH,DE
GI,DE
FH,FI
HK,HK
VU,VN
IR,IS
TW,CA
IJ,ID
IQ,IQ
UL,US
TI,TR
TF,TR
TS,TR
T0,TR
JA,JM
JQ,JP
SJ,ZA
PK,PK
KZ,KZ
KF,KR
NONE,SD
NONE,UA
MK,MY
KE,KR
KP,KR
KQ,KR
KB,KG
KK,KW
LS,LA
LD,GB
NONE,MY
PE,PE
PL,PT
NONE,PT
LH,LT
SV,SI
XJ,SI
LN,GB
LI,GB
NONE,GB
EU,GB
E1,GB
XL,GB
NONE,GB
LO,GB
LY,LY
ZL,ZM
LX,LU
NONE,AR
SN,ES
SQ,ES
MS,MK
MV,MT
NC,NI
MZ,MZ
MP,MU
NONE,IN
NONE,AR
MF,MX
UY,UY
ME,ME
MB,MD
NONE,RU
NONE,IT
NONE,IT
MW,MW
GM,DE
OM,OM
KN,KE
NW,NA
NONE,US
UR,US
NONE,SE
AO,AU
NK,NP
NG,SE
XG,SE
JN,JP
UW,US
UQ,US
NL,NG
IS,IN
UN,US
NZ,NZ
NONE,NO
JO,JP
NONE,JP
NO,NO
XN,NO
UU,US
XO,SE
PS,PS
FP,FR
UX,US
PM,PH
NONE,RU
PZ,GB
PB,PG
NONE,US
PO,IE
CK,CZ
CD,CZ
KL,CZ
PP,PA
SX,CH
QT,DE
EQ,EC
RQ,RO
NONE,MY
LG,LV
RC,CZ
NONE,AR
NONE,RU
JS,JP
KA,SE
AB,SA
JU,JP
C2,CN
SP,SG
NONE,SG
NONE,SG
CC,CL
CS,CN
CG,CN
NONE,RU
XE,GB
XM,GB
FS,FJ
C1,CN
BT,BA
VM,VN
ZU,UZ
SS,SE
GS,DE
XS,DE
EL,SV
SD,SZ
SE,CH
IT,IL
TT,TW
ET,EE
JG,JP
IE,IR
AL,AL
JT,JP
NONE,JP
NONE,CA
TP,TT
CT,CA
CV,CA
TU,TN
UK,UA
S2,GB
UG,UG
MO,MN
SA,ES
PN,PY
VX,CH
PW,PL
AV,AT
XA,AT
ZA,HR
ZH,ZW
NONE,ZA
NONE,DE